Customer_Birthyear,Customer_Gender,Customer_credit_rating,Customer_flag_change_of_authentication_1,Customer_flag_change_of_authentication_2,Customer_flag_change_of_authentication_3,Customer_flag_change_of_authentication_4,Customer_rooting_jailbreak_indicator,Customer_mobile_roaming_indicator,Customer_VPN_Indicator,Customer_loan_type,Customer_flag_terminal_malicious_behavior_1,Customer_flag_terminal_malicious_behavior_2,Customer_flag_terminal_malicious_behavior_3,Customer_flag_terminal_malicious_behavior_4,Customer_flag_terminal_malicious_behavior_5,Customer_flag_terminal_malicious_behavior_6,Customer_inquery_atm_limit,Customer_increase_atm_limit,Account_account_type,Account_initial_balance,Account_balance,Account_indicator_release_limit_excess,Account_amount_daily_limit,Account_indicator_Openbanking,Account_remaining_amount_daily_limit_exceeded,Account_release_suspention,Account_one_month_max_amount,Account_one_month_std_dev,Account_dawn_one_month_max_amount,Account_dawn_one_month_std_dev,Transaction_Amount,Channel,Operating_System,Error_Code,Transaction_Failure_Status,Type_General_Automatic,Access_Medium,Transaction_num_connection_failure,Another_Person_Account,Distance,Time_difference,Unused_terminal_status,Flag_deposit_more_than_tenMillion,Unused_account_status,Recipient_account_suspend_status,Number_of_transaction_with_the_account,Transaction_history_with_the_account,First_time_iOS_by_vulnerable_user,Fraud_Type
1960.0,male,A,0.0,0.0,1.0,0.0,0.0,0.0,0.0,c,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,b,13687398.0,5811339.0,0.0,1990631.0,1.0,5237272.0,1.0,123961.0,25355.0,141.0,6926.0,2249742.0,mobile,Android,c,1.0,general,a,0.0,1.0,114.88022060503106,283 days 14:48:02,1.0,0.0,1.0,1.0,0.0,1.0,0.0,m
1997.0,male,C,0.0,1.0,0.0,0.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,10778521.0,8627909.0,1.0,10017787.0,1.0,969931.0,1.0,23299836.0,12682027.0,0.0,85125.0,309058.0,internet,macOS,a,0.0,general,a,0.0,1.0,106.85050294109607,0 days 08:20:30,1.0,0.0,1.0,1.0,0.0,0.0,0.0,m
1968.0,female,B,0.0,0.0,0.0,1.0,1.0,0.0,0.0,a,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,c,9332064.0,14271433.0,0.0,1993340.0,1.0,2005069.0,1.0,2020689.0,1131508.0,0.0,79425.0,-522043.0,internet,iOS,a,0.0,general,c,2.0,1.0,104.85482956208175,-711 days +17:29:35,1.0,0.0,0.0,0.0,0.0,1.0,0.0,m
1960.0,female,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,a,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,b,19035220.0,13195855.0,0.0,2035036.0,1.0,1947912.0,0.0,68733322.0,11443761.0,180339.0,1050063.0,1028671.0,internet,iOS,a,0.0,general,b,0.0,1.0,156.47360544126445,0 days 17:22:29,1.0,1.0,0.0,0.0,1.0,1.0,0.0,m
1966.0,male,A,1.0,1.0,0.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,b,17813924.0,15408823.0,0.0,2013293.0,1.0,2009341.0,1.0,38837444.0,10812608.0,0.0,158387.0,1639904.0,Others,Windows,a,0.0,general,b,2.0,1.0,159.54340553234204,0 days 20:42:22,0.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1996.0,female,A,1.0,1.0,1.0,1.0,0.0,1.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,c,9878273.0,12133544.0,0.0,2001569.0,1.0,1995003.0,1.0,40605090.0,10263646.0,8631294.0,5343560.0,-25546.0,mobile,Android,a,0.0,general,a,0.0,1.0,170.99350325812696,1 days 07:12:02,1.0,0.0,0.0,0.0,2.0,2.0,0.0,m
1983.0,female,A,1.0,1.0,0.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,9319546.0,15570889.0,0.0,2028082.0,1.0,1981894.0,1.0,25844122.0,8411455.0,10821699.0,6264179.0,3577468.0,ATM,Windows,a,0.0,general,b,0.0,1.0,89.54344275327406,0 days 19:38:02,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1997.0,female,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,d,11757120.0,13046217.0,0.0,2006767.0,1.0,1969779.0,1.0,4730346.0,269285.0,0.0,0.0,478635.0,Others,Others,a,0.0,general,a,0.0,1.0,129.11222372669621,-1 days +18:18:02,1.0,0.0,0.0,0.0,1.0,1.0,0.0,m
1951.0,male,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,a,7778475.0,6864727.0,0.0,1997368.0,1.0,1992483.0,1.0,1113637.0,20925.0,0.0,17824.0,1416162.0,internet,Others,a,0.0,general,b,0.0,1.0,116.11111233050404,360 days 17:18:29,1.0,0.0,1.0,0.0,0.0,0.0,0.0,m
1967.0,male,B,1.0,1.0,1.0,1.0,0.0,0.0,1.0,a,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,a,10641818.0,9262384.0,1.0,50000000.0,1.0,2015515.0,1.0,10403302.0,3166310.0,6076568.0,3601793.0,78940.0,internet,Android,a,0.0,general,b,0.0,1.0,170.66632343166515,-1 days +22:04:14,1.0,0.0,0.0,0.0,2.0,2.0,0.0,m
1967.0,male,B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,d,4152203.0,3270911.0,0.0,1992905.0,1.0,2028306.0,1.0,1427756.0,165569.0,7086.0,0.0,926983.0,ATM,Others,a,0.0,general,b,1.0,1.0,198.63258347987843,1 days 06:48:19,1.0,0.0,0.0,1.0,1.0,1.0,0.0,m
1982.0,female,B,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,a,10654379.0,11990900.0,0.0,2010922.0,1.0,2003400.0,1.0,12026125.0,4611342.0,8971265.0,4227173.0,-1575437.0,Others,Windows,a,0.0,general,a,0.0,1.0,187.87831748520387,0 days 12:32:19,1.0,1.0,1.0,1.0,0.0,0.0,0.0,m
1974.0,female,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,a,10829549.0,12645463.0,1.0,50000000.0,1.0,49588411.0,1.0,32984157.0,11419995.0,88835209.0,64741085.0,300739.0,mobile,Others,a,0.0,general,a,1.0,1.0,132.74772538469568,1 days 23:10:23,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
2000.0,female,B,1.0,1.0,1.0,1.0,0.0,0.0,0.0,a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,5263404.0,3435180.0,0.0,1979871.0,1.0,2001044.0,1.0,59650103.0,18613573.0,4410994.0,1138455.0,-1881661.0,ATM,Others,a,0.0,general,a,0.0,1.0,151.0376688142021,0 days 00:21:17,1.0,1.0,0.0,0.0,2.0,3.0,0.0,m
1992.0,female,C,1.0,1.0,1.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,c,1825870.0,10012028.0,0.0,1011727.0,1.0,1045225.0,1.0,18275580.0,4982304.0,48144.0,149657.0,5922638.0,mobile,Android,a,0.0,general,b,0.0,1.0,173.13088020865897,-1 days +20:59:21,1.0,1.0,1.0,1.0,0.0,0.0,0.0,m
1968.0,male,B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,a,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,c,1954673.0,4457227.0,0.0,50000000.0,1.0,1472470.0,1.0,11848506.0,4892740.0,85735093.0,37322825.0,921118.0,mobile,iOS,a,0.0,general,a,1.0,1.0,179.04776941021387,0 days 18:37:43,1.0,0.0,0.0,0.0,1.0,1.0,0.0,m
2001.0,male,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,e,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,c,12366789.0,11428439.0,0.0,1911797.0,1.0,1053821.0,0.0,13068434.0,5153916.0,68725.0,16130.0,-331078.0,internet,Android,a,0.0,general,a,0.0,1.0,69.19723280838656,3 days 02:28:15,1.0,1.0,0.0,0.0,0.0,1.0,0.0,m
1962.0,female,C,0.0,1.0,1.0,1.0,0.0,0.0,0.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,14231371.0,94460102.0,0.0,1000000.0,1.0,1011067.0,1.0,2487320.0,0.0,29651.0,0.0,84707920.0,Others,Android,a,0.0,general,a,0.0,1.0,165.0988146106014,1 days 15:07:59,1.0,1.0,0.0,0.0,1.0,1.0,0.0,m
1982.0,female,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,17854894.0,7585678.0,1.0,49988150.0,1.0,1993513.0,0.0,9853366.0,4227380.0,0.0,38076.0,35048.0,ATM,Windows,a,0.0,general,b,0.0,1.0,131.21168801847722,0 days 18:59:16,1.0,1.0,0.0,0.0,1.0,1.0,0.0,m
1958.0,female,B,1.0,1.0,1.0,1.0,0.0,0.0,0.0,a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,d,21938350.0,10834908.0,0.0,1987894.0,1.0,2010634.0,0.0,20572848.0,0.0,131261.0,149612.0,-495244.0,internet,iOS,a,0.0,general,a,0.0,1.0,75.84781553472297,1 days 04:38:13,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1996.0,female,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,d,8865089.0,7750105.0,0.0,1952747.0,1.0,1988735.0,1.0,958844.0,58718.0,0.0,1891.0,324592.0,ATM,Windows,a,0.0,general,a,0.0,1.0,117.99573365155264,2 days 03:13:07,1.0,0.0,0.0,1.0,1.0,2.0,0.0,m
1971.0,male,B,1.0,1.0,1.0,1.0,1.0,0.0,0.0,a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,c,3166469.0,2852720.0,0.0,2012602.0,1.0,1986159.0,0.0,4751748.0,2643998.0,0.0,0.0,926176.0,ATM,Android,a,0.0,general,b,2.0,1.0,174.24848174593362,-2 days +17:39:02,1.0,0.0,0.0,1.0,1.0,3.0,0.0,m
1975.0,female,B,1.0,1.0,0.0,0.0,1.0,0.0,0.0,a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,c,7971639.0,7568144.0,0.0,1980186.0,1.0,1979310.0,1.0,789044.0,102253.0,0.0,10249.0,38706.0,ATM,Windows,a,0.0,general,b,0.0,1.0,160.84148816748612,-1 days +10:15:25,1.0,0.0,0.0,1.0,1.0,2.0,0.0,m
1970.0,male,A,1.0,0.0,1.0,1.0,0.0,1.0,0.0,b,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,d,10253888.0,10107019.0,0.0,2007208.0,1.0,2045857.0,1.0,12880697.0,5998548.0,9987313.0,5600080.0,6490862.0,internet,iOS,a,0.0,general,c,0.0,1.0,226.77182468527704,1 days 17:19:13,1.0,0.0,0.0,0.0,2.0,2.0,0.0,m
1981.0,female,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,c,11037478.0,16205093.0,1.0,49977950.0,1.0,1999972.0,1.0,136164643.0,48816702.0,9612999.0,5035143.0,5854984.0,Others,Others,a,0.0,general,a,0.0,1.0,128.13321541110653,-1 days +23:52:06,0.0,0.0,0.0,0.0,1.0,1.0,0.0,m
1986.0,female,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,9563048.0,9196153.0,0.0,2010818.0,1.0,2017706.0,1.0,6427361.0,4642.0,0.0,19953.0,212169.0,Others,Windows,a,0.0,general,b,0.0,1.0,161.0453828392802,367 days 03:45:09,1.0,0.0,1.0,1.0,0.0,0.0,0.0,m
1999.0,male,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,10834745.0,11000330.0,0.0,1996468.0,1.0,1599005.0,1.0,11503391.0,1989234.0,5319439.0,1655282.0,338337.0,Others,Windows,a,0.0,general,b,0.0,1.0,111.52558064966905,0 days 05:09:59,1.0,1.0,0.0,0.0,2.0,2.0,0.0,m
1969.0,female,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,a,11225806.0,12801935.0,0.0,2002093.0,1.0,1994081.0,0.0,173420700.0,60337705.0,185649357.0,101762892.0,513800.0,internet,Windows,a,0.0,general,a,1.0,1.0,94.5849605064839,0 days 23:07:46,1.0,0.0,1.0,0.0,0.0,0.0,0.0,m
1951.0,male,C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,a,12010936.0,16427909.0,0.0,1003969.0,1.0,1045368.0,1.0,170553.0,0.0,0.0,0.0,3565955.0,ATM,Others,a,0.0,general,a,0.0,1.0,167.4449512076203,0 days 14:15:15,1.0,0.0,0.0,0.0,1.0,1.0,0.0,m
2002.0,female,C,1.0,1.0,1.0,0.0,0.0,0.0,1.0,a,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,b,12862763.0,9898724.0,0.0,1000000.0,1.0,1217641.0,1.0,10624828.0,15126.0,305254.0,0.0,-78696.0,internet,Windows,a,0.0,general,e,0.0,1.0,79.7885539896447,0 days 00:35:18,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1983.0,male,A,0.0,1.0,0.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c,18960552.0,14927906.0,0.0,1989710.0,1.0,2013911.0,1.0,4841958.0,2897570.0,0.0,0.0,8093542.0,Others,Others,a,0.0,general,b,0.0,1.0,162.87833111662417,1 days 07:04:16,1.0,1.0,1.0,1.0,0.0,0.0,0.0,m
1959.0,male,B,1.0,1.0,0.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,10881910.0,11452090.0,0.0,2001115.0,1.0,2023043.0,1.0,2131621.0,8331.0,42156.0,0.0,510514.0,Others,Windows,a,0.0,general,b,2.0,1.0,163.51943542708324,3 days 06:41:02,1.0,0.0,1.0,1.0,0.0,0.0,0.0,m
1966.0,male,C,1.0,0.0,0.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,b,6080014.0,10956464.0,0.0,1000000.0,1.0,606977.0,1.0,8442412.0,5848.0,0.0,0.0,-151021.0,ATM,Others,a,0.0,general,b,3.0,1.0,184.4839630855455,1 days 13:02:28,1.0,0.0,0.0,0.0,1.0,2.0,0.0,m
1996.0,male,A,0.0,0.0,1.0,0.0,0.0,1.0,0.0,b,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,b,10803548.0,10614026.0,0.0,2003869.0,1.0,1873627.0,1.0,7812497.0,540082.0,14092.0,37829.0,-375377.0,mobile,Android,a,0.0,general,a,1.0,1.0,106.77782864527057,27 days 01:53:52,1.0,0.0,1.0,0.0,0.0,0.0,0.0,m
1982.0,female,B,1.0,1.0,1.0,1.0,0.0,0.0,0.0,a,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,c,7212939.0,13335928.0,0.0,2001583.0,1.0,2012699.0,0.0,30444726.0,9437128.0,14823824.0,7045387.0,1762702.0,internet,Others,a,0.0,general,b,0.0,1.0,211.30321847602633,1 days 07:39:38,1.0,1.0,1.0,1.0,0.0,0.0,0.0,m
1996.0,male,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,9544723.0,6713535.0,0.0,1999985.0,1.0,2010941.0,1.0,21754821.0,6789291.0,0.0,0.0,463655.0,internet,macOS,a,0.0,general,b,0.0,1.0,158.74295119233875,1 days 19:30:39,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1985.0,female,C,1.0,1.0,1.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,b,4695806.0,14997192.0,0.0,1012328.0,1.0,1227284.0,1.0,147223914.0,49013625.0,146925686.0,80483980.0,7083875.0,Others,Others,a,0.0,general,a,0.0,1.0,99.19655229632166,3 days 01:38:31,1.0,0.0,0.0,1.0,0.0,1.0,0.0,m
1994.0,female,B,1.0,0.0,1.0,1.0,0.0,0.0,0.0,a,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,d,8785363.0,14973989.0,0.0,1977965.0,1.0,1986625.0,1.0,138248406.0,40423985.0,64520255.0,43253329.0,4898953.0,ATM,Android,a,0.0,automatic,a,1.0,1.0,180.59013638001392,-1 days +17:37:47,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1958.0,male,B,0.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,d,13099567.0,13526584.0,0.0,1522932.0,1.0,1915629.0,0.0,14085544.0,836912.0,0.0,487120.0,-55369.0,internet,Linux,a,0.0,automatic,b,2.0,1.0,172.03050014928377,1 days 07:17:06,1.0,0.0,1.0,0.0,0.0,1.0,0.0,m
1971.0,male,C,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,c,8523228.0,19957873.0,0.0,1000000.0,1.0,1016477.0,1.0,24000128.0,6897696.0,13733342.0,4886962.0,7341844.0,mobile,Android,a,0.0,general,a,2.0,1.0,160.55669200643422,-1 days +21:58:05,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1964.0,female,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,b,14509848.0,12814408.0,0.0,2013219.0,1.0,2012909.0,1.0,9368105.0,2757775.0,0.0,0.0,798110.0,Others,Windows,a,0.0,general,a,0.0,1.0,98.84272980621975,1 days 06:37:48,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1966.0,male,B,1.0,1.0,0.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,c,12020119.0,11861178.0,0.0,2006336.0,1.0,2011722.0,1.0,13308460.0,5207009.0,9116246.0,5748539.0,1706613.0,Others,Windows,a,0.0,general,b,0.0,1.0,225.40115140261477,1 days 04:07:45,1.0,0.0,1.0,1.0,0.0,0.0,0.0,m
1967.0,female,B,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,d,7413407.0,4691602.0,1.0,50000000.0,1.0,1991144.0,0.0,7591328.0,4085078.0,0.0,177036.0,-2342657.0,Others,Linux,a,0.0,general,a,0.0,1.0,57.107715167189674,0 days 01:02:31,1.0,1.0,1.0,1.0,0.0,0.0,0.0,m
1981.0,male,A,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,c,12792345.0,14491850.0,0.0,1999810.0,1.0,1983877.0,1.0,13134039.0,1651721.0,4777904.0,2286781.0,2158295.0,internet,Android,a,0.0,general,a,1.0,1.0,225.0641204354028,2 days 09:14:31,1.0,0.0,1.0,1.0,0.0,0.0,0.0,m
1965.0,male,C,0.0,1.0,0.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,b,6363966.0,11575211.0,0.0,1000000.0,1.0,1069059.0,1.0,2666150.0,373491.0,0.0,0.0,5038636.0,mobile,iOS,a,0.0,general,b,2.0,1.0,152.58113643277753,1 days 08:34:08,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1974.0,female,C,1.0,0.0,1.0,0.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,c,11925295.0,14558123.0,1.0,12528535.0,1.0,1001737.0,1.0,10418157.0,267444.0,132203.0,317098.0,962770.0,internet,Windows,a,0.0,general,b,0.0,1.0,197.6342483095491,1 days 04:44:22,1.0,1.0,1.0,1.0,0.0,0.0,0.0,m
1966.0,male,D,1.0,1.0,1.0,1.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,c,13986972.0,13801912.0,0.0,1017414.0,1.0,1200086.0,0.0,11963890.0,4624013.0,0.0,186701.0,1946573.0,mobile,Android,a,0.0,automatic,a,0.0,1.0,100.63742974554577,-1 days +20:42:49,1.0,1.0,1.0,0.0,0.0,0.0,0.0,m
1955.0,male,A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b,14958440.0,15457362.0,0.0,1993384.0,1.0,1986880.0,1.0,327680.0,107740.0,7510.0,963.0,292686.0,ATM,Windows,a,0.0,general,b,0.0,1.0,151.03125303758216,369 days 01:18:50,1.0,1.0,1.0,1.0,0.0,0.0,0.0,m
1973.0,female,A,1.0,1.0,1.0,0.0,0.0,0.0,0.0,c,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,a,2650399.0,2483997.0,0.0,1990631.0,1.0,2008350.0,1.0,5902562.0,0.0,6548.0,0.0,1284870.0,internet,iOS,a,0.0,general,b,2.0,1.0,168.82448312859958,0 days 01:51:49,1.0,1.0,0.0,1.0,1.0,1.0,0.0,m
1995.0,female,B,1.0,1.0,1.0,1.0,0.0,0.0,0.0,b,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,b,3260909.0,1857271.0,0.0,1992545.0,1.0,2013691.0,0.0,34475307.0,11014531.0,1731595.0,1483519.0,90012.0,ATM,Windows,a,0.0,general,b,0.0,1.0,160.09786427678912,-1 days +23:57:25,1.0,1.0,1.0,1.0,0.0,0.0,0.0,m
